"variable","countryname","countrycode","year","value"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","India","IND","yr1990","8.4121612899"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Indonesia","IDN","yr1990","5.3810629407"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Iran, Islamic Rep.","IRN","yr1990","5.9345254306"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Iraq","IRQ","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Ireland","IRL","yr1990","5.6244214066"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Isle of Man","IMY","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Israel","ISR","yr1990","5.2545256854"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Italy","ITA","yr1990","3.6450024001"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Jamaica","JAM","yr1990","6.6000705983"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Japan","JPN","yr1990","5.0375958586"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Jordan","JOR","yr1990","6.1275301549"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Kazakhstan","KAZ","yr1990","14.7783867216"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Kenya","KEN","yr1990","9.472016084"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Kiribati","KIR","yr1990","3.462291441"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Korea, Dem. Rep.","PRK","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Korea, Rep.","KOR","yr1990","7.5075666981"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Kosovo","KSV","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Kuwait","KWT","yr1990","3.6816469667"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Kyrgyz Republic","KGZ","yr1990","20.5421582748"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Lao PDR","LAO","yr1990","8.1627627719"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Latvia","LVA","yr1990","9.0648568617"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Lebanon","LBN","yr1990","3.9130039238"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Lesotho","LSO","yr1990","6.8885006151"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Liberia","LBR","yr1990","40.6917577149"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Libya","LBY","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Liechtenstein","LIE","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Lithuania","LTU","yr1990","11.5467525054"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Luxembourg","LUX","yr1990","6.6109443992"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Macao SAR, China","MAC","yr1990","1.3402038175"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Macedonia, FYR","MKD","yr1990","5.0951426682"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Madagascar","MDG","yr1990","5.2899838684"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Malawi","MWI","yr1990","14.3471489055"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Malaysia","MYS","yr1990","5.0178033917"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Maldives","MDV","yr1990","2.7812534896"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Mali","MLI","yr1990","5.1747227089"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Malta","MLT","yr1990","4.8472374274"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Marshall Islands","MHL","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Mauritania","MRT","yr1990","19.5056700272"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Mauritius","MUS","yr1990","8.1929010158"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Mexico","MEX","yr1990","4.7747014457"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Micronesia, Fed. Sts.","FSM","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Moldova","MDA","yr1990","17.4646611696"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Monaco","MCO","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Mongolia","MNG","yr1990","15.1826506424"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Montenegro","MNE","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Morocco","MAR","yr1990","3.1348197678"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Mozambique","MOZ","yr1990","42.0985444854"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Myanmar","MMR","yr1990","15.6229071849"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Namibia","NAM","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Nepal","NPL","yr1990","10.7912801379"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Netherlands","NLD","yr1990","6.0130176784"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","New Caledonia","NCL","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","New Zealand","NZL","yr1990","6.88605038"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Nicaragua","NIC","yr1990","6.7324020138"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Niger","NER","yr1990","10.5562188307"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Nigeria","NGA","yr1990","9.5972211547"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Northern Mariana Islands","MNP","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Norway","NOR","yr1990","4.8426496629"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Oman","OMN","yr1990","3.3296525767"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Pakistan","PAK","yr1990","5.454194604"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Palau","PLW","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Panama","PAN","yr1990","3.363518656"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Papua New Guinea","PNG","yr1990","13.936140078"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Paraguay","PRY","yr1990","5.057747332"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Peru","PER","yr1990","3.5741033604"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Philippines","PHL","yr1990","4.838561623"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Poland","POL","yr1990","11.4463763184"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Portugal","PRT","yr1990","3.6500711159"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Puerto Rico","PRI","yr1990","0.6172456863"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Qatar","QAT","yr1990","7.8681013656"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Romania","ROM","yr1990","9.9535910094"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Russian Federation","RUS","yr1990","12.8287380418"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Rwanda","RWA","yr1990","5.7295822051"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Samoa","WSM","yr1990","5.0208974248"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","San Marino","SMR","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Sao Tome and Principe","STP","yr1990","6.0879025704"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Saudi Arabia","SAU","yr1990","4.2525436615"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Senegal","SEN","yr1990","5.0614337224"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Serbia","SRB","yr1990","7.7463691368"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Seychelles","SYC","yr1990","1.8117359579"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Sierra Leone","SLE","yr1990","11.6527380663"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Singapore","SGP","yr1990","4.6306009248"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Sint Maarten (Dutch part)","SXM","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Slovak Republic","SVK","yr1990","11.0367604402"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Slovenia","SVN","yr1990","6.4912837219"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Solomon Islands","SLB","yr1990","10.1113142464"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Somalia","SOM","yr1990","24.5617370467"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","South Africa","ZAF","yr1990","10.889615714"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","South Sudan","SSD","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Spain","ESP","yr1990","4.1056274831"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Sri Lanka","LKA","yr1990","4.0643390365"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","St. Kitts and Nevis","KNA","yr1990","3.0585645002"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","St. Lucia","LCA","yr1990","2.6426988091"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","St. Martin (French part)","MAF","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","St. Vincent and the Grenadines","VCT","yr1990","2.3070893417"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Sudan","SDN","yr1990","9.2839161754"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Suriname","SUR","yr1990","7.4116124247"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Swaziland","SWZ","yr1990","4.6995281536"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Sweden","SWE","yr1990","7.8458512855"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Switzerland","CHE","yr1990","3.3805308299"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Syrian Arab Republic","SYR","yr1990","8.6283104727"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Taiwan, China","TWN","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Tajikistan","TJK","yr1990","11.5396963155"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Tanzania","TZA","yr1990","15.9754479642"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Thailand","THA","yr1990","4.8731639095"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Timor-Leste","TMP","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Togo","TGO","yr1990","10.3443450822"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Tonga","TON","yr1990","3.5342530829"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Trinidad and Tobago","TTO","yr1990","15.2370947029"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Tunisia","TUN","yr1990","4.6444010386"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Turkey","TUR","yr1990","3.8119211261"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Turkmenistan","TKM","yr1990","23.9371642309"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Turks and Caicos Islands","TCA","yr1990","0.5022251072"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Tuvalu","TUV","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Uganda","UGA","yr1990","24.350793653"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Ukraine","UKR","yr1990","19.3491829241"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","United Arab Emirates","ARE","yr1990","4.0895453904"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","United Kingdom","GBR","yr1990","6.2948814764"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","United States","USA","yr1990","8.6854202676"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Uruguay","URY","yr1990","3.1512820636"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Uzbekistan","UZB","yr1990","31.1037628161"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Vanuatu","VUT","yr1990","3.5267788281"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Venezuela, RB","VEN","yr1990","6.3587033686"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Vietnam","VNM","yr1990","7.5480698196"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Virgin Islands (U.S.)","VIR","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","West Bank and Gaza","WBG","yr1990",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Yemen, Rep.","YEM","yr1990","2.5936394139"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Zambia","ZMB","yr1990","11.464644652"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Zimbabwe","ZWE","yr1990","14.6971360933"
